subj_idx,rt,response
1,0.3415,0
1,0.2015,0
1,0.2715,0
1,0.1475,0
1,0.1445,0
1,0.0845,0
1,0.1845,0
1,0.1135,0
1,0.2135,1
1,0.0805,0
1,0.1385,0
1,0.14250000000000002,0
1,0.0805,0
1,0.2155,0
1,0.1235,0
1,0.3395,0
1,0.1305,0
1,0.6875000000000001,1
1,0.7645000000000001,0
1,0.0765,1
1,0.0795,0
1,0.2495,1
1,0.051500000000000004,0
1,0.3695,1
1,0.2525,1
1,0.1245,1
1,0.1835,0
1,0.4265,0
1,0.1095,0
1,0.23550000000000001,1
1,0.4005,0
1,0.2995,0
1,0.1385,0
1,0.0805,0
1,0.0665,0
1,0.4415,1
1,0.0375,0
1,0.10250000000000001,0
1,0.5615000000000001,0
1,0.1515,1
1,0.1895,1
1,0.3545,0
1,0.07150000000000001,0
1,0.1985,0
1,0.0875,1
1,0.5405000000000001,0
1,0.3215,0
1,0.0475,0
1,0.3715,0
1,0.1555,0
1,0.1545,1
1,0.3865,0
1,0.2695,0
2,0.2725,0
2,0.0455,0
2,0.2015,0
2,0.07150000000000001,0
2,0.0635,0
2,0.0675,0
2,0.0495,0
2,0.0425,0
2,0.0735,0
2,0.025500000000000002,1
2,0.1245,0
2,0.0325,0
2,0.1015,0
2,0.10250000000000001,0
2,0.0385,0
2,0.3405,1
2,0.11750000000000001,0
2,0.0455,0
2,0.0475,0
2,0.0455,0
2,0.0345,0
2,0.3955,0
2,0.1445,0
2,0.0635,0
2,0.2745,0
2,0.2465,0
2,0.0395,0
2,0.0375,0
2,0.1115,0
2,0.035500000000000004,0
2,0.1515,0
2,0.1845,0
2,0.0405,0
2,0.1105,0
2,0.1585,1
2,0.2135,0
2,0.0925,0
2,0.0575,0
2,0.0435,0
2,0.1045,0
2,0.3045,0
2,0.0475,0
2,0.0765,0
2,0.2105,0
2,0.0305,0
2,0.0725,0
2,0.0265,0
2,0.1055,0
2,0.0965,0
2,0.0295,0
2,0.0265,0
2,0.0655,0
2,0.0555,0
2,0.0905,0
2,0.0885,0
2,0.1255,1
2,0.2585,0
2,0.0855,0
2,0.1165,0
2,0.0615,0
2,0.0555,0
2,0.0895,0
2,0.1855,0
2,0.0955,0
2,0.1505,0
2,0.1575,0
2,0.0335,0
2,0.20450000000000002,0
2,0.0885,0
2,0.1255,0
2,0.0505,0
2,0.0395,0
2,0.0475,0
2,0.0465,0
2,0.07150000000000001,0
2,0.0535,0
2,0.1325,1
2,0.0765,0
2,0.0675,0
2,0.0915,0
2,0.23850000000000002,0
2,0.0475,0
2,0.2765,0
2,0.1015,0
2,0.0525,0
2,0.0275,0
2,0.0595,0
2,0.0995,1
2,0.1685,0
2,0.23750000000000002,0
2,0.0435,0
2,0.1165,0
2,0.1555,0
2,0.0495,0
2,0.1525,0
2,0.28250000000000003,0
2,0.0495,0
2,0.1205,0
2,0.0855,0
2,0.0455,0
3,0.0215,0
3,0.0445,0
3,0.0345,0
3,0.0395,0
3,0.0215,0
3,0.0055,1
3,0.014499999999999999,0
3,0.0265,0
3,0.0195,0
3,0.0595,0
3,0.0505,0
3,0.0315,0
3,0.0425,0
3,0.0295,0
3,0.0725,1
3,0.0215,0
3,0.0155,0
3,0.0285,0
3,0.0245,0
3,0.0245,0
3,0.0215,0
3,0.1105,0
3,0.0555,0
3,0.035500000000000004,0
3,0.0675,0
3,0.1095,1
3,0.0585,0
3,0.0395,1
3,0.0175,0
3,0.23450000000000001,0
3,0.0745,0
3,0.0475,0
3,0.0945,1
3,0.0955,0
3,0.0615,1
3,0.0165,0
3,0.0735,1
3,0.0385,1
3,0.0985,0
3,0.0305,0
3,0.0365,0
3,0.0285,1
3,0.0225,0
3,0.0395,1
3,0.0465,1
3,0.0295,0
3,0.0435,1
3,0.0375,1
3,0.0505,1
3,0.0785,0
3,0.0225,0
3,0.0205,0
3,0.0165,0
3,0.0525,1
3,0.0345,0
3,0.010499999999999999,0
3,0.0235,0
3,0.025500000000000002,0
3,0.07050000000000001,1
3,0.0195,0
3,0.0995,1
3,0.0535,0
3,0.0445,0
3,0.0685,0
3,0.0245,0
3,0.0795,0
3,0.2475,0
3,0.1275,0
3,0.010499999999999999,1
3,0.0135,0
3,0.0535,0
3,0.0115,0
3,0.0205,1
3,0.0585,1
3,0.0665,0
3,0.0475,0
3,0.0305,0
3,0.025500000000000002,0
3,0.0435,0
3,0.0085,0
3,0.0655,0
3,0.1375,0
3,0.0125,1
3,0.010499999999999999,0
3,0.0885,1
3,0.0385,0
3,0.1095,0
3,0.0295,0
3,0.0475,0
3,0.0365,0
3,0.0405,0
3,0.0245,0
3,0.0455,0
3,0.0325,1
3,0.0245,0
3,0.025500000000000002,0
3,0.1275,0
3,0.0295,0
3,0.1385,0
3,0.0485,0
4,0.1125,1
4,0.08650000000000001,1
4,0.0305,1
4,0.0835,1
4,0.0885,1
4,0.3855,1
